#---- ММВБ- СПВБ: валюты (СЭЛТ) ----
IPX,Treasury Securities (yield x10) 13-Week Bill,15/11,2.06,0.98%
TYX,Treasury Securities (yield x10) 30-Year Bond,15/11,4.9,-0.20%
DOT,TSC Internet,15/11,197.33,0.23%
XU100,Turkey ISE National-100,12/11,22104.69,-0.37%
XVL,Value Line,16/11,1700.24,-0.67%
IBC,Venezuela IBC,16/11,29628.47,0.64%
TMW,Wilshire 5000 TOT,04/06,10936.3,0.56%
#---- Погода в городах России и СНГ ----
Погода,Москва,17/11,-4...-2,Москва
Погода,С-Петербург,17/11,-4...-2,С-Петербург
Погода,Архангельск,17/11,-5...-3,Архангельск
Погода,Астана,14/05,28...30,Астана
Погода,Астрахань,17/11,13...15,Астрахань
Погода,Ашхабад,14/05,31...33,Ашхабад
Погода,Баку,17/11,16...18,Баку
Погода,Бишкек,14/05,27...29,Бишкек
Погода,Вильнюс,17/11,-1...1,Вильнюс
Погода,Владивосток,17/11,4...6,Владивосток
Погода,Душанбе,14/05,34...36,Душанбе
Погода,Ереван,17/11,14...16,Ереван
Погода,Калининград,17/11,3...5,Калининград
Погода,Киев,17/11,0...2,Киев
Погода,Кишинев,17/11,2...4,Кишинев
Погода,Минск,17/11,-1...1,Минск
Погода,Мурманск,17/11,-8...-6,Мурманск
Погода,Новосибирск,17/11,-2...0,Новосибирск
Погода,Н.-Новгород,17/11,-3...-1,Н.-Новгород
Погода,Пермь,17/11,0...2,Пермь
Погода,Рига,17/11,-1...1,Рига
Погода,Ростов-на-Дону,17/11,2...4,Ростов-на-Дону
Погода,Таллин,17/11,-1...1,Таллин
Погода,Ташкент,17/11,16...18,Ташкент
Погода,Тбилиси,17/11,11...13,Тбилиси
Погода,Уфа,17/11,6...8,Уфа
#---- Курсы ЦБ РФ ----
USD ЦБ РФ,1 Доллар США,17/11,28.6882,0.0186
EUR ЦБ РФ,1 ЕВРО,17/11,37.1455,-0.0734
AUD ЦБ РФ,1 Австралийский доллар,17/11,22.1186,0.0287
GBP ЦБ РФ,1 Англ. фунт стерлингов,17/11,53.0072,-0.2437
BER ЦБ РФ,1000 Белорусских рублей,17/11,13.1582,0.01
DAC ЦБ РФ,10 Датских крон,17/11,49.9646,-0.0941
ICC ЦБ РФ,100 Исландских крон,17/11,42.6908,0.0023
CAD ЦБ РФ,1 Канадский доллар,17/11,23.8909,-0.1145
NOC ЦБ РФ,10 Норвежских крон,17/11,45.8424,-0.0488
SDR ЦБ РФ,1 СДР,17/11,43.3134,0.1097
SYD ЦБ РФ,1 Сингапурский доллар,17/11,17.3826,0.0102
TUL ЦБ РФ,1000000 Турецких лир,17/11,19.6495,-0.0818
UAH ЦБ РФ,10 Украинских гривен,17/11,53.5847,0.1535
CHF ЦБ РФ,1 Швейцарский франк,17/11,24.3409,-0.1233
SWC ЦБ РФ,10 Шведских крон,17/11,41.4587,-0.0776
JPY ЦБ РФ,100 Японских иен,17/11,27.2081,-0.0004
#---- Курсы ЦБ РФ по драгоценным металлам ----
Золото ЦБ РФ,Золото - ЦБ РФ,16/11,401.92,-1.16
